County,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SCL,"1,675,312","1,691,159","1,712,026","1,740,964","1,765,137","1,786,040","1,812,054","1,837,853","1,866,425","1,891,753","1,916,285","1,928,368","1,932,510","1,932,337","1,927,852","1,924,802","1,878,320","1,883,653","1,897,137","1,926,325","1,877,592"
SCR,"251,377","251,616","253,304","256,520","260,009","263,147","264,858","266,340","268,816","270,861","273,503","274,396","274,856","273,841","273,213","271,768","260,904","265,851","263,699","262,406","261,547"
SHA,"175,615","176,166","176,548","177,247","177,279","177,274","177,588","177,875","178,397","178,844","178,314","178,571","179,384","179,709","180,080","182,190","182,243","180,972","180,656","181,121","180,366"
SIE,"3,378","3,424","3,373","3,320","3,248","3,220","3,098","3,067","3,028","2,972","2,985","2,951","3,002","2,997","3,005","3,229","3,298","3,215","3,180","3,113","3,236"
SIS,"44,641","44,487","44,465","44,780","44,788","44,938","44,615","44,079","43,532","43,338","43,254","43,376","43,622","43,550","43,539","43,999","44,144","43,746","42,941","42,498","42,905"
SOL,"408,181","408,402","408,243","408,972","410,290","413,967","416,342","419,674","423,659","429,006","433,409","438,858","443,511","445,725","447,643","452,887","450,819","449,724","451,060","455,101","449,218"
SON,"465,938","465,188","467,356","473,091","479,479","484,755","487,421","489,993","494,073","498,560","500,863","502,547","502,469","498,643","494,336","488,501","484,561","483,398","483,366","485,375","481,812"
STA,"500,020","504,651","507,834","509,032","511,536","515,145","517,560","520,424","523,451","528,015","533,211","539,255","544,717","548,126","550,660","553,710","552,939","552,410","553,921","556,972","551,430"
SUT,"88,764","91,112","92,959","93,855","94,366","94,751","94,482","94,189","94,507","94,778","95,282","95,742","96,204","96,348","96,971","99,479","99,121","98,682","98,457","98,545","97,948"
TEH,"60,602","61,587","62,147","62,648","62,891","63,559","63,331","63,212","62,875","62,801","63,158","63,453","63,847","64,018","65,084","65,690","65,467","65,269","64,959","64,451","64,896"
TRI,"13,440","13,634","13,648","13,656","13,762","13,755","13,685","13,489","13,427","13,128","13,094","12,828","12,726","12,567","12,285","16,095","16,102","15,777","15,684","15,642","16,112"
TUL,"407,970","414,921","422,140","429,283","436,987","442,969","446,784","449,779","452,460","455,138","457,161","459,235","462,308","464,589","466,195","473,944","476,939","478,288","480,747","483,546","479,468"
TUO,"56,788","56,680","56,339","56,320","55,845","55,190","54,830","54,221","53,997","53,851","53,615","53,770","53,976","54,387","54,478","55,397","55,126","53,951","54,123","53,893","54,204"
VEN,"794,197","798,183","800,027","806,353","815,130","825,097","830,099","833,516","838,136","842,297","845,802","847,323","849,044","848,142","846,006","843,808","840,009","835,032","833,071","835,427","829,590"
YOL,"186,269","189,615","194,339","197,154","199,791","201,073","201,954","204,576","206,292","208,398","212,037","215,627","218,477","220,118","220,500","217,768","213,545","223,338","222,919","225,251","220,544"
YUB,"66,285","69,272","70,761","71,773","71,607","72,348","72,489","72,774","73,090","73,533","74,045","74,952","76,578","77,557","78,668","82,001","83,035","84,335","85,695","87,469","85,722"
